s,ts_utc,begins,completed,success,unexpected,drops,in_ckpt_local,bin_present
1790147679,2026-09-23T07:14:39+00:00,2001,2003,1975,0,0,True,True
1790147680,2026-09-23T07:14:40+00:00,1999,1998,1967,0,0,True,True
1790147681,2026-09-23T07:14:41+00:00,2001,1996,1961,0,0,True,True
1790147682,2026-09-23T07:14:42+00:00,2000,2002,1976,0,0,True,True
1790147683,2026-09-23T07:14:43+00:00,2000,2004,1967,0,0,True,True
1790147684,2026-09-23T07:14:44+00:00,1999,1998,1970,0,0,True,True
1790147685,2026-09-23T07:14:45+00:00,2001,1998,1952,0,0,True,True
1790147686,2026-09-23T07:14:46+00:00,2000,2003,1980,0,0,True,True
1790147687,2026-09-23T07:14:47+00:00,2000,2001,1966,0,0,True,True
1790147688,2026-09-23T07:14:48+00:00,1999,1999,1955,0,0,True,True
1790147689,2026-09-23T07:14:49+00:00,2000,2001,1967,0,0,True,True
1790147690,2026-09-23T07:14:50+00:00,2000,1999,1967,0,0,True,True
1790147691,2026-09-23T07:14:51+00:00,2001,2002,1982,0,0,True,True
1790147692,2026-09-23T07:14:52+00:00,2000,1973,1946,0,0,True,True
1790147693,2026-09-23T07:14:53+00:00,1999,2011,1977,0,0,True,True
1790147694,2026-09-23T07:14:54+00:00,2000,2011,1990,0,0,True,True
1790147695,2026-09-23T07:14:55+00:00,1999,2001,1973,0,0,True,True
1790147696,2026-09-23T07:14:56+00:00,2001,1999,1965,0,0,True,True
1790147697,2026-09-23T07:14:57+00:00,2001,1998,1966,0,0,True,True
1790147698,2026-09-23T07:14:58+00:00,2000,2006,1975,0,0,True,True
1790147699,2026-09-23T07:14:59+00:00,2000,2000,1967,0,0,True,True
1790147700,2026-09-23T07:15:00+00:00,2000,1999,1973,0,0,True,True
1790147701,2026-09-23T07:15:01+00:00,2000,2000,1975,0,0,True,True
1790147702,2026-09-23T07:15:02+00:00,2000,1998,1967,0,0,True,True
